Participante;Equipo 1;Gana 1;Empata;Gana 2;Equipo 2
Mariana;Argentina;x;;;Arabia Saudita
Mariana;Polonia;;x;;Mexico
Mariana;Argentina;x;;;Mexico
Mariana;Arabia Saudita;;;x;Polonia
Pedro;Argentina;x;;;Arabia Saudita
Pedro;Polonia;;;x;Mexico
Pedro;Argentina;x;;;Mexico
Pedro;Arabia Saudita;;x;;Polonia
Marco;Argentina;;;x;Arabia Saudita
Marco;Polonia;;x;;Mexico
Marco;Argentina;x;;;Mexico
Marco;Arabia Saudita;;;x;Polonia
Polo;Argentina;x;;;Arabia Saudita
Polo;Polonia;;;x;Mexico
Polo;Argentina;x;;;Mexico
Polo;Arabia Saudita;;;x;Polonia
